Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
10500,770057,357150,130829,141694,287592,66768,42527,313219134,338993,172239,39455,71366516,224162,75236882,93871,332650314,143030,574381360,103140,633507129,297004867
10750,703359,355323,130834,141861,271800,61905,43257,350660579,371618,197672,38965,58401145,267592,86309124,93315,348119321,142950,575808520,69244,701949093,302413963
11000,779768,364767,131410,140808,253172,67266,46936,357855772,326754,169593,38759,60400028,241790,86374467,94121,406256488,149038,671546243,83845,688006530,356750662
11250,925587,351061,131205,142464,204210,64861,44860,429642096,347736,176564,38844,58274920,266982,91280914,93681,390674026,138514,734184091,68513,688407015,338652391
11500,666105,353817,130551,138777,196371,69041,45081,382095377,355376,189164,42617,69596566,251971,106810474,96268,393965662,137646,641266992,86924,828273783,306147573
11750,681500,354362,131103,146160,179907,72563,47482,382596390,363637,173137,38439,66244460,232933,124029369,98959,351724064,139249,651560125,594913,825541545,360975866
12000,642409,355632,147414,130102,170313,64122,47383,361655463,337017,207103,39186,68944020,196466,108719138,96133,375767819,163442,742148919,53617,735640088,337007388
12250,794246,358197,138532,136033,163536,47826,44061,373550336,328993,182579,39075,68662017,245246,94791869,91257,420043587,137297,802000676,40437,795264110,352141451
12500,747473,376798,148574,128800,160291,46266,39667,422381436,376909,177333,39435,72548259,241937,98390572,78982,431709659,141687,750411861,40533,866947380,364464063
12750,697981,363180,140127,189749,164226,48756,45508,445569245,337163,188594,38695,90613711,267500,93798400,79447,433060030,141349,811115594,41876,837549437,433083311
13000,643899,398281,148377,165650,177018,50217,44545,446318449,1358887,186485,38890,92612227,225444,97668870,78175,396365751,131500,911962384,44510,825275356,422925812
13250,697704,410685,143391,132161,174766,49253,56481,388895514,349018,197945,34738,88931025,214745,131468664,78131,405529529,136873,996966864,43499,884533277,428273748
13500,680657,432516,138598,152285,171714,51656,63444,431614459,311645,188244,40557,93044010,198189,102414459,82229,406811993,151680,1049770129,46475,888541440,401618038
13750,626163,377095,138679,151030,167415,47518,60111,406848058,352282,219205,31501,79834716,207934,112281652,85476,487359591,137876,971659291,41768,841916156,397358396
