"9800000941", "Venezuela (1st edition)", "Yoston Ferrigni", 111.49
"9994055461", "Kʻartʻveli eris etʻnogenezis satʻaveebtʻan (1st edition)", "Otʻar Japʻariże", 55.06
"9879449460", "Oratoria politica (1st edition)", "Alfredo Eduardo Mooney", 101.26
"9985862309", "Ajalugu on rikas (1st edition)", "Andres Herkel", 25.71
"9856524423", "Matʹ Tereza (1st edition)", "Nikolaĭ Vladimirovich Belov", 112.32
"9792214135", "Nayla (Cet. 1.)", "Djenar Maesa Ayu", 105.50
"9792556915", "Mahkamah Agung vs. Komisi Yudisial di Mahkamah Konstitusi (Cet. 1.)", "O. C. Kaligis", 72.59
"9879416058", "Tango y cine mundial (1st edition)", "Pedro Ochoa", 66.96
"9959291057", "Tuḥaf al-rabbānīyah fī jawāb al-asʾilah al-Lamadānīyah (al-Ṭabʻah 1.)", "Yaḥyá ibn Muḥammad Shāwī", 28.69
"9994134388", "Banalin sardastaynum (1st edition)", "Vahram Tʻatʻikyan", 56.92
"979805900X", "Coarse grains and pulses in Nepal (1st edition)", "Bed B. Khadka", 64.66
"9867607325", "Ai ren 72 bian (1st edition)", "Zhen Teng", 43.78
"9990575290", "clase obrera (1st edition)", "Lorgio Orellana Aillón", 46.59
"9810090315", "Equator·Island (1st edition)", "Low Puay Hua", 114.53
"9994393405", "Në mirëbesim (1st edition)", "Agim Nesho", 47.94
"9993530360", "Haïti (1st edition)", "Antoinette Langommier", 42.39
"9961541766", "al-Fāʻil fī al-manẓūr al-sīmiyāʼī (880-03 al-Ṭabʻah 2002.)", "Aḥmad Ṭālib", 30.03
"9871110324", "Actas del Cabildo Eclesiástico (1st edition)", "Cabildo Eclesiástico de Tucumán (Tucumán, Argentina)", 64.07
"9789999513104", "Impact of Computer Use on Children's Learning (1st edition)", "Henry J. Becker", 22.71
"9978722645", "Ensayo histórico de la economía ecuatoriana (1. ed.)", "José Corsino Cárdenas", 87.51
"9989613788", "Teatarot i mitot (1st edition)", "Co-operative Congress (69th 1937 Bath, England)", 87.66
